


trunk
|            name |  nvar | elapsed_time |  iter | dual_feas |      status | objective | neval_obj | neval_grad | neval_hprod | first_criteria | second_criteria | third_criteria |
|   Rosenbrock 40 |    40 |      1.8e-01 |    66 |   1.3e-03 | first_order |   4.0e+00 |        93 |         65 |         802 |           4428 |         4.2e-05 |        7.0e+01 |
|  ChainedWood 40 |    40 |      2.4e-01 |    44 |   3.9e-04 | first_order |   1.0e+00 |        87 |         43 |         823 |           4417 |         5.4e-05 |        4.9e+01 |
| ChainedPowel 40 |    40 |      1.2e-02 |    12 |   2.8e-03 | first_order |   2.5e-05 |        13 |         13 |          68 |            418 |         2.9e-05 |        1.0e+02 |
|    CraggLevy 40 |    40 |      1.5e-02 |    12 |   3.7e-02 | first_order |   3.9e+04 |        16 |         13 |          93 |            546 |         2.7e-05 |        8.1e+01 |
|        Brown 40 |    40 |      4.8e-02 |    15 |   1.3e-05 | first_order |   2.3e+01 |        20 |         16 |         294 |           1570 |         3.1e-05 |        8.0e+01 |
|   Rosenbrock 60 |    60 |      3.4e-01 |    95 |   3.1e-05 | first_order |   4.0e+00 |       122 |         94 |        1264 |           6912 |         4.9e-05 |        7.7e+01 |
|  ChainedWood 60 |    60 |      4.8e-01 |    52 |   3.8e-02 | first_order |   1.0e+00 |       121 |         51 |        1223 |           6491 |         7.3e-05 |        4.2e+01 |
| ChainedPowel 60 |    60 |      4.0e-02 |    12 |   2.8e-03 | first_order |   2.7e-05 |        13 |         13 |          69 |            423 |         9.5e-05 |        1.0e+02 |
|    CraggLevy 60 |    60 |      2.1e-02 |    12 |   3.8e-02 | first_order |   6.1e+04 |        16 |         13 |          91 |            536 |         3.9e-05 |        8.1e+01 |
|        Brown 60 |    60 |      6.5e-02 |    13 |   4.8e-05 | first_order |   4.3e+01 |        23 |         14 |         243 |           1308 |         5.0e-05 |        6.1e+01 |



trunk_SPS
|            name |  nvar | elapsed_time |  iter | dual_feas |      status | objective | neval_obj | neval_grad | neval_hprod | first_criteria | second_criteria | third_criteria |
|-----------------|-------|--------------|-------|-----------|-------------|-----------|-----------|------------|-------------|----------------|-----------------|----------------|
|   Rosenbrock 20 |    20 |      4.2e-01 |    37 |   2.2e-05 | first_order |   4.0e+00 |        79 |         37 |         473 |           2629 |         1.6e-04 |        4.7e+01 |
|  ChainedWood 20 |    20 |      8.8e-01 |    41 |   4.2e-04 | first_order |   8.8e-09 |        81 |         40 |         488 |           2721 |         3.2e-04 |        4.9e+01 |
| ChainedPowel 20 |    20 |      5.1e-02 |    12 |   3.2e-03 | first_order |   2.6e-05 |        13 |         13 |          65 |            403 |         1.3e-04 |        1.0e+02 |
|    CraggLevy 20 |    20 |      8.2e-02 |    13 |   4.1e-03 | first_order |   1.7e+04 |        17 |         14 |         105 |            612 |         1.3e-04 |        8.2e+01 |
|        Brown 20 |    20 |      1.1e-01 |     9 |   1.3e-05 | first_order |   7.1e+00 |        11 |         10 |         134 |            731 |         1.6e-04 |        9.1e+01 |
|   Rosenbrock 40 |    40 |      2.0e+00 |    66 |   1.3e-03 | first_order |   4.0e+00 |        93 |         65 |         802 |           4428 |         4.6e-04 |        7.0e+01 |
|  ChainedWood 40 |    40 |      7.4e+00 |    44 |   3.6e-04 | first_order |   1.8e-09 |        87 |         43 |         819 |           4397 |         1.7e-03 |        4.9e+01 |
| ChainedPowel 40 |    40 |      4.6e-01 |    12 |   2.8e-03 | first_order |   2.5e-05 |        13 |         13 |          68 |            418 |         1.1e-03 |        1.0e+02 |
|    CraggLevy 40 |    40 |      4.5e-01 |    12 |   3.7e-02 | first_order |   3.9e+04 |        16 |         13 |          93 |            546 |         8.3e-04 |        8.1e+01 |
|        Brown 40 |    40 |      9.9e-01 |    10 |   1.7e-05 | first_order |   2.3e+01 |        12 |         11 |         186 |            997 |         9.9e-04 |        9.2e+01 |
|   Rosenbrock 60 |    60 |      7.7e+00 |    95 |   3.1e-05 | first_order |   4.0e+00 |       122 |         94 |        1264 |           6912 |         1.1e-03 |        7.7e+01 |
|  ChainedWood 60 |    60 |      5.7e+00 |    53 |   8.0e-04 | first_order |   2.3e-10 |       122 |         52 |        1273 |           6747 |         8.5e-04 |        4.3e+01 |
| ChainedPowel 60 |    60 |      2.1e-01 |    12 |   2.8e-03 | first_order |   2.7e-05 |        13 |         13 |          69 |            423 |         4.9e-04 |        1.0e+02 |
|    CraggLevy 60 |    60 |      2.4e-01 |    12 |   3.7e-02 | first_order |   6.1e+04 |        16 |         13 |          91 |            536 |         4.4e-04 |        8.1e+01 |
